dolzina_izpusne_cevi,kompresijsko_raymerje,premer_izpusne_cevi
704.081633,10.000000,20.000000
908.163265,15.000000,42.500000
500.000000,5.500000,20.000000
989.795918,5.000000,48.500000
632.653061,15.000000,26.000000
1000.000000,10.500000,38.000000
846.938776,8.500000,20.000000
1000.000000,5.000000,21.500000
877.551020,5.000000,29.000000
500.000000,13.500000,50.000000
836.734694,15.000000,27.500000
846.938776,8.000000,50.000000
642.857143,9.500000,42.500000
510.204082,15.000000,20.000000
591.836735,5.000000,41.000000
612.244898,5.000000,26.000000
989.795918,15.000000,20.000000
500.000000,10.000000,32.000000
683.673469,8.500000,50.000000
867.346939,5.000000,41.000000
632.653061,10.000000,44.000000
877.551020,10.000000,41.000000
612.244898,15.000000,42.500000
785.714286,15.000000,50.000000
1000.000000,14.000000,50.000000
500.000000,11.000000,36.500000
1000.000000,10.500000,29.000000
500.000000,5.000000,50.000000
846.938776,10.500000,27.500000
632.653061,10.000000,27.500000
